# m1_extract v1 — DERIVED DATA (a Modified Version), not an original work.
# Source:  Cremona ecdata, https://github.com/JohnCremona/ecdata
#          release tag 2026-04-22, commit 25cec5ecfec8b9f016eb1631ac633194c2bed39f
# License: Artistic License 2.0 (ecdata's LICENSE) — redistribution of Modified
#          Versions is permitted with this notice retained. (c) J. Cremona and
#          contributors. Raw-slice sha256s pinned in data/cremona/MANIFEST.json.
# Derived by: `at ecdata-extract --lo 2500 --hi 10000` (this repo).
# Contents: one primitive-isogeny-class representative per line — the rows Stage
#          M1 consumes; good-prime a_p is COMPUTED from the model, not stored.
# range 2500 10000
# LABEL N a1 a2 a3 a4 a6 RANK BAD(p:w,...|-)
2562k 2562 1 1 1 155 2603 1 2:-1,3:1,7:-1,61:1
2562l 2562 1 1 1 -11 -55 1 2:-1,3:1,7:-1,61:1
2562m 2562 1 1 1 253 335 0 2:-1,3:1,7:-1,61:-1
2562n 2562 1 0 0 -242 1476 1 2:-1,3:-1,7:1,61:1
2563a 2563 0 1 1 -272156 54560182 0 11:1,233:-1
2563b 2563 0 1 1 17 11 0 11:-1,233:1
2563c 2563 1 1 0 92 495 0 11:-1,233:1
2563d 2563 1 0 0 -9 28 2 11:-1,233:1
2563e 2563 1 1 0 8 5 1 11:-1,233:-1
2565a 2565 0 0 1 -67743 -488302 1 3:1,5:1,19:1
2565b 2565 0 0 1 -7527 18085 0 3:1,5:-1,19:1
2565c 2565 0 0 1 -18 -27 1 3:-1,5:1,19:-1
2565d 2565 0 0 1 -162 722 0 3:-1,5:-1,19:-1
2566a 2566 1 -1 1 -4 -3 0 2:-1,1283:1
2568a 2568 0 -1 0 -40 -212 1 2:1,3:1,107:1
2568b 2568 0 -1 0 -171710260 866106274669 1 2:1,3:1,107:1
2568c 2568 0 -1 0 -20 -27 1 2:1,3:1,107:1
2568d 2568 0 1 0 -207 1782 0 2:1,3:-1,107:1
2568e 2568 0 1 0 -12 9 1 2:1,3:-1,107:-1
2568f 2568 0 -1 0 -2280 -41151 0 2:-1,3:1,107:1
2568g 2568 0 -1 0 -360 -2511 0 2:-1,3:1,107:1
2568h 2568 0 -1 0 -104 444 0 2:-1,3:1,107:1
2568i 2568 0 -1 0 -149444 -21955623 1 2:-1,3:1,107:-1
2568j 2568 0 -1 0 -4 1 1 2:-1,3:1,107:-1
2569a 2569 1 -1 1 5 -6 0 7:-1,367:1
2570a 2570 1 0 1 -274 -2508 0 2:1,5:1,257:-1
2570b 2570 1 -1 1 -22 -219 1 2:-1,5:-1,257:1
2571a 2571 0 1 1 -1 -8 1 3:-1,857:-1
2573a 2573 0 -1 1 -36 49 0 31:-1,83:1
2574a 2574 1 -1 0 309 -17083 1 2:1,3:1,11:1,13:1
2574b 2574 1 -1 0 -937023 -348885875 0 2:1,3:1,11:-1,13:1
2574c 2574 1 -1 0 -132 592 1 2:1,3:1,11:-1,13:-1
2574d 2574 1 -1 0 -51969609 -144342625779 0 2:1,3:-1,11:1,13:1
2574e 2574 1 -1 0 -414 -3308 0 2:1,3:-1,11:1,13:1
2574f 2574 1 -1 0 -2988 162000 0 2:1,3:-1,11:1,13:1
2574g 2574 1 -1 0 -9 189 2 2:1,3:-1,11:1,13:1
2574h 2574 1 -1 0 2520 -8096 1 2:1,3:-1,11:1,13:-1
2574i 2574 1 -1 0 0 22 1 2:1,3:-1,11:1,13:-1
2574j 2574 1 -1 0 -1386 -22748 1 2:1,3:-1,11:1,13:-1
2574k 2574 1 -1 0 -20709 1157269 1 2:1,3:-1,11:1,13:-1
2574l 2574 1 -1 0 -594 7852 1 2:1,3:-1,11:-1,13:1
2574m 2574 1 -1 0 -9603 -359339 1 2:1,3:-1,11:-1,13:1
2574n 2574 1 -1 0 -5148 -3209648 0 2:1,3:-1,11:-1,13:-1
2574o 2574 1 -1 0 117 1053 0 2:1,3:-1,11:-1,13:-1
2574p 2574 1 -1 0 117 -4667 0 2:1,3:-1,11:-1,13:-1
2574q 2574 1 -1 1 -8433209 9428351833 0 2:-1,3:1,11:1,13:1
2574r 2574 1 -1 1 -1190 -14795 1 2:-1,3:1,11:1,13:-1
2574s 2574 1 -1 1 34 621 1 2:-1,3:1,11:-1,13:1
2574t 2574 1 -1 1 49 2967 1 2:-1,3:-1,11:1,13:1
2574u 2574 1 -1 1 -59 263 0 2:-1,3:-1,11:1,13:-1
2574v 2574 1 -1 1 -935879 -348245953 0 2:-1,3:-1,11:1,13:-1
2574w 2574 1 -1 1 -302 -1947 0 2:-1,3:-1,11:-1,13:1
2574x 2574 1 -1 1 3235 -51739 1 2:-1,3:-1,11:-1,13:-1
2574y 2574 1 -1 1 -59 -1141 1 2:-1,3:-1,11:-1,13:-1
2575a 2575 1 0 1 49 673 0 5:-1,103:1
2575b 2575 1 1 1 2 6 1 5:-1,103:-1
2576a 2576 0 -1 0 -28 -49 1 2:1,7:1,23:1
2576b 2576 0 -1 0 4192 -16816 1 2:1,7:1,23:1
2576c 2576 0 1 0 -2632 -52860 1 2:1,7:1,23:1
2576d 2576 0 1 0 84 172 0 2:1,7:1,23:-1
2576e 2576 0 1 0 -28 -84 0 2:1,7:-1,23:1
2576f 2576 0 0 0 24425 37215701 0 2:1,7:-1,23:1
2576g 2576 0 0 0 53 5 0 2:1,7:-1,23:1
2576h 2576 0 0 0 -59 -198 1 2:1,7:-1,23:-1
2576i 2576 0 0 0 -8419 -301667 1 2:1,7:-1,23:-1
2576j 2576 0 0 0 -131 -2686 0 2:-1,7:1,23:1
2576k 2576 0 1 0 -64 -204 2 2:-1,7:1,23:1
2576l 2576 0 0 0 -59 170 1 2:-1,7:1,23:-1
2576m 2576 0 1 0 2 7 1 2:-1,7:1,23:-1
2576n 2576 0 1 0 552 -23276 1 2:-1,7:1,23:-1
2576o 2576 0 -1 0 6 43 1 2:-1,7:-1,23:1
2576p 2576 0 -1 0 -224 -256 1 2:-1,7:-1,23:1
2577a 2577 0 -1 1 -4 -12 1 3:1,859:1
2580a 2580 0 1 0 275 -625 1 2:-1,3:-1,5:-1,43:-1
2580b 2580 0 1 0 -4645 120743 1 2:-1,3:-1,5:-1,43:-1
2581a 2581 1 1 1 99 592 1 29:1,89:1
2583a 2583 0 0 1 120 213 0 3:1,7:-1,41:1
2583b 2583 0 0 1 -150 843 1 3:1,7:-1,41:-1
2583c 2583 1 -1 0 26469 -502362 0 3:-1,7:1,41:1
2583d 2583 1 -1 1 6358 1738118 0 3:-1,7:1,41:1
2583e 2583 1 -1 0 27 184 0 3:-1,7:-1,41:-1
2583f 2583 1 -1 0 -63 -378 0 3:-1,7:-1,41:-1
2584a 2584 0 1 0 1 -14 1 2:-1,17:1,19:-1
2584b 2584 0 1 0 -56 -128 0 2:-1,17:-1,19:-1
2585a 2585 0 0 1 -122 520 1 5:-1,11:-1,47:1
2585b 2585 0 -1 1 10 -92 1 5:-1,11:-1,47:1
2586a 2586 1 1 1 386 8891 0 2:-1,3:1,431:1
2586b 2586 1 1 1 -3934 -96613 0 2:-1,3:1,431:1
2586c 2586 1 1 1 -9 51 1 2:-1,3:1,431:-1
2590a 2590 1 1 0 67 137 1 2:1,5:1,7:1,37:1
2590b 2590 1 1 0 -3 77 0 2:1,5:1,7:-1,37:1
2590c 2590 1 0 1 -2803 57198 0 2:1,5:-1,7:-1,37:-1
2590d 2590 1 0 0 -6 -14 0 2:-1,5:1,7:1,37:1
2590e 2590 1 1 1 -95 -443 0 2:-1,5:-1,7:1,37:-1
2590f 2590 1 1 1 -242377195 1494552244057 0 2:-1,5:-1,7:1,37:-1
2592a 2592 0 0 0 -12 32 1 2:1,3:1
2592b 2592 0 0 0 -108 864 1 2:1,3:1
2592c 2592 0 0 0 -3 -10 1 2:1,3:1
2592d 2592 0 0 0 -27 -270 0 2:1,3:-1
